countries_and_territories,country_territory_code,month,pop_data_2019,new_confirmed_cases,new_daily_deaths,confirmed_cases,deaths
Niger,NER,9,23310719,20,0,1196,69
Niger,NER,10,23310719,24,0,1220,69
Niger,NER,11,23310719,87,1,1307,70
Nigeria,NGA,1,200963603,0,0,0,0
Nigeria,NGA,2,200963603,1,0,1,0
Nigeria,NGA,3,200963603,130,2,131,2
Nigeria,NGA,4,200963603,1597,49,1728,51
Nigeria,NGA,10,200963603,4044,33,62691,1144
Nigeria,NGA,11,200963603,2457,20,65148,1164
Nicaragua,NIC,3,6545503,4,1,4,1
Nicaragua,NIC,4,6545503,10,3,14,4
Nicaragua,NIC,6,6545503,1411,39,2170,74
Nicaragua,NIC,7,6545503,1502,42,3672,116
Nicaragua,NIC,8,6545503,822,21,4494,137
Nicaragua,NIC,9,6545503,676,14,5170,151
Nicaragua,NIC,10,6545503,344,5,5514,156
Nicaragua,NIC,11,6545503,147,2,5661,158
Netherlands,NLD,1,17282163,0,0,0,0
Netherlands,NLD,2,17282163,2,0,2,0
Netherlands,NLD,7,17282163,3740,33,53963,6140
Netherlands,NLD,8,17282163,16108,75,70071,6215
Norway,NOR,1,5328212,0,0,0,0
Norway,NOR,2,5328212,6,0,6,0
Norway,NOR,3,5328212,4220,26,4226,26
Norway,NOR,4,5328212,3441,176,7667,202
Norway,NOR,5,5328212,744,34,8411,236
Norway,NOR,6,5328212,444,13,8855,249
Norway,NOR,7,5328212,317,6,9172,255
Norway,NOR,8,5328212,1371,9,10543,264
Norway,NOR,9,5328212,3245,10,13788,274
Norway,NOR,10,5328212,5775,8,19563,282
Norway,NOR,11,5328212,7663,12,27226,294
Nepal,NPL,1,28608715,1,0,1,0
Nepal,NPL,2,28608715,0,0,1,0
Nepal,NPL,3,28608715,4,0,5,0
Nepal,NPL,4,28608715,52,0,57,0
Nepal,NPL,5,28608715,1344,6,1401,6
Nepal,NPL,6,28608715,11847,23,13248,29
Nepal,NPL,7,28608715,6299,23,19547,52
New_Zealand,NZL,1,4783062,0,0,0,0
New_Zealand,NZL,2,4783062,1,0,1,0
New_Zealand,NZL,3,4783062,646,1,647,1
New_Zealand,NZL,4,4783062,482,18,1129,19
New_Zealand,NZL,5,4783062,25,3,1154,22
New_Zealand,NZL,6,4783062,24,0,1178,22
New_Zealand,NZL,7,4783062,32,0,1210,22
New_Zealand,NZL,8,4783062,177,0,1387,22
New_Zealand,NZL,9,4783062,93,3,1480,25
New_Zealand,NZL,10,4783062,121,0,1601,25
New_Zealand,NZL,11,4783062,44,0,1645,25
Oman,OMN,1,4974992,0,0,0,0
Oman,OMN,2,4974992,6,0,6,0
Oman,OMN,3,4974992,173,0,179,0
Oman,OMN,4,4974992,2095,10,2274,10
Oman,OMN,5,4974992,8149,32,10423,42
Oman,OMN,6,4974992,28637,127,39060,169
Panama,PAN,3,4246440,1075,26,1075,26
Peru,PER,3,32510462,950,24,950,24
French_Polynesia,PYF,3,279285,36,0,36,0
French_Polynesia,PYF,4,279285,22,0,58,0
French_Polynesia,PYF,5,279285,2,0,60,0
French_Polynesia,PYF,6,279285,2,0,62,0
French_Polynesia,PYF,7,279285,0,0,62,0
French_Polynesia,PYF,8,279285,358,0,420,0
French_Polynesia,PYF,9,279285,1246,7,1666,7
French_Polynesia,PYF,10,279285,5596,22,7262,29
French_Polynesia,PYF,11,279285,4444,24,11706,53
Papua_New_Guinea,PNG,3,8776119,1,0,1,0
Papua_New_Guinea,PNG,4,8776119,7,0,8,0
Papua_New_Guinea,PNG,5,8776119,0,0,8,0
Papua_New_Guinea,PNG,6,8776119,3,0,11,0
Papua_New_Guinea,PNG,7,8776119,61,2,72,2
Papua_New_Guinea,PNG,8,8776119,387,3,459,5
Papua_New_Guinea,PNG,9,8776119,75,2,534,7
Papua_New_Guinea,PNG,10,8776119,55,0,589,7
Papua_New_Guinea,PNG,11,8776119,11,0,600,7
Philippines,PHL,1,108116622,1,0,1,0
Philippines,PHL,2,108116622,2,1,3,1
Pakistan,PAK,1,216565317,0,0,0,0
Pakistan,PAK,2,216565317,2,0,2,0
Pakistan,PAK,3,216565317,1623,18,1625,18
Poland,POL,3,37972812,2055,31,2055,31
Puerto_Rico,PRI,4,2933404,1259,80,1433,86
Puerto_Rico,PRI,5,2933404,2285,47,3718,133
Puerto_Rico,PRI,6,2933404,3532,20,7250,153
Puerto_Rico,PRI,7,2933404,9322,61,16572,214
Palestine,PSE,3,4981422,115,1,115,1
Palestine,PSE,4,4981422,392,1,507,2
Palestine,PSE,5,4981422,119,3,626,5
Palestine,PSE,6,4981422,1817,3,2443,8
Palestine,PSE,7,4981422,12395,76,14838,84
Palestine,PSE,8,4981422,14225,82,29063,166
Palestine,PSE,10,4981422,14627,192,64742,552
Portugal,PRT,8,10276617,6900,92,57768,1819
Paraguay,PRY,3,7044639,65,3,65,3
Paraguay,PRY,4,7044639,184,6,249,9
Paraguay,PRY,5,7044639,715,2,964,11
Paraguay,PRY,6,7044639,1227,5,2191,16
Paraguay,PRY,7,7044639,3016,31,5207,47
Qatar,QAT,1,2832071,0,0,0,0
Qatar,QAT,2,2832071,0,0,0,0
Qatar,QAT,3,2832071,693,1,693,1
Qatar,QAT,4,2832071,11871,9,12564,10
Qatar,QAT,5,2832071,42698,26,55262,36
Qatar,QAT,6,2832071,39844,77,95106,113
Qatar,QAT,7,2832071,15354,58,110460,171
Qatar,QAT,8,2832071,8115,26,118575,197
Qatar,QAT,9,2832071,6958,17,125533,214
Qatar,QAT,10,2832071,6810,18,132343,232
Qatar,QAT,11,2832071,3442,2,135785,234
Romania,ROU,1,19414458,0,0,0,0
Romania,ROU,2,19414458,3,0,3,0
Romania,ROU,3,19414458,1949,44,1952,44
Serbia,SRB,3,6963764,785,16,785,16
Serbia,SRB,4,6963764,7939,157,8724,173
Serbia,SRB,5,6963764,2657,69,11381,242
Serbia,SRB,6,6963764,2907,32,14288,274
Serbia,SRB,8,6963764,6152,146,31365,711
Serbia,SRB,9,6963764,2114,38,33479,749
Serbia,SRB,10,6963764,11658,65,45137,814
Russia,RUS,1,145872260,0,0,0,0
Russia,RUS,2,145872260,2,0,2,0
Russia,RUS,3,145872260,1834,10,1836,10
Rwanda,RWA,3,12626938,70,0,70,0
Rwanda,RWA,4,12626938,155,0,225,0
Rwanda,RWA,5,12626938,134,1,359,1
Rwanda,RWA,6,12626938,642,1,1001,2
Rwanda,RWA,7,12626938,993,3,1994,5
Rwanda,RWA,8,12626938,2026,11,4020,16
Rwanda,RWA,9,12626938,816,13,4836,29
Rwanda,RWA,10,12626938,298,6,5134,35
Rwanda,RWA,11,12626938,321,10,5455,45
Saudi_Arabia,SAU,3,34268529,1453,8,1453,8
Saudi_Arabia,SAU,4,34268529,19949,149,21402,157
Solomon_Islands,SLB,10,669821,8,0,8,0
Solomon_Islands,SLB,11,669821,8,0,16,0
Seychelles,SYC,3,97741,10,0,10,0
Seychelles,SYC,4,97741,1,0,11,0
Seychelles,SYC,5,97741,0,0,11,0
Seychelles,SYC,6,97741,0,0,11,0
Seychelles,SYC,7,97741,103,0,114,0
Seychelles,SYC,8,97741,22,0,136,0
Seychelles,SYC,9,97741,7,0,143,0
Seychelles,SYC,10,97741,10,0,153,0
Seychelles,SYC,11,97741,5,0,158,0
Sudan,SDN,3,42813237,6,2,6,2
Sudan,SDN,4,42813237,369,26,375,28
Sudan,SDN,9,42813237,417,13,13606,836
Sudan,SDN,10,42813237,159,1,13765,837
Sweden,SWE,1,10230185,0,0,0,0
Sweden,SWE,2,10230185,11,0,11,0
Sweden,SWE,8,10230185,7552,70,84234,5808
Sweden,SWE,9,10230185,8913,51,93147,5859
Singapore,SGP,1,5804343,13,0,13,0
Singapore,SGP,2,5804343,85,0,98,0
Singapore,SGP,3,5804343,746,3,844,3
Singapore,SGP,4,5804343,14797,11,15641,14
Singapore,SGP,5,5804343,18725,9,34366,23
Singapore,SGP,6,5804343,9295,3,43661,26
Singapore,SGP,7,5804343,8148,1,51809,27
Singapore,SGP,8,5804343,4962,0,56771,27
Singapore,SGP,9,5804343,971,0,57742,27
Singapore,SGP,10,5804343,261,1,58003,28
Singapore,SGP,11,5804343,116,0,58119,28
Slovenia,SVN,3,2080908,763,11,763,11
Slovenia,SVN,4,2080908,655,78,1418,89
Slovenia,SVN,5,2080908,55,19,1473,108
Slovenia,SVN,6,2080908,112,3,1585,111
Slovenia,SVN,7,2080908,554,6,2139,117
Slovenia,SVN,8,2080908,726,11,2865,128
Slovenia,SVN,9,2080908,2622,10,5487,138
Slovenia,SVN,10,2080908,27023,87,32510,225
Slovakia,SVK,3,5450421,336,0,336,0
Slovakia,SVK,4,5450421,1055,22,1391,22
Slovakia,SVK,5,5450421,130,6,1521,28
Slovakia,SVK,6,5450421,144,0,1665,28
Slovakia,SVK,7,5450421,600,0,2265,28
Slovakia,SVK,8,5450421,1611,5,3876,33
Slovakia,SVK,9,5450421,5698,12,9574,45
Sierra_Leone,SLE,4,7813207,116,4,116,4
Sierra_Leone,SLE,5,7813207,736,42,852,46
Sierra_Leone,SLE,6,7813207,598,14,1450,60
Sierra_Leone,SLE,7,7813207,368,7,1818,67
Sierra_Leone,SLE,8,7813207,204,3,2022,70
Sierra_Leone,SLE,9,7813207,200,2,2222,72
Sierra_Leone,SLE,10,7813207,143,2,2365,74
Sierra_Leone,SLE,11,7813207,26,0,2391,74
San_Marino,SMR,1,34453,0,0,0,0
San_Marino,SMR,2,34453,1,0,1,0
San_Marino,SMR,3,34453,228,25,229,25
San_Marino,SMR,4,34453,334,16,563,41
San_Marino,SMR,5,34453,108,1,671,42
San_Marino,SMR,6,34453,27,0,698,42
San_Marino,SMR,7,34453,1,0,699,42
San_Marino,SMR,8,34453,11,0,710,42
San_Marino,SMR,9,34453,17,0,727,42
San_Marino,SMR,10,34453,201,0,928,42
San_Marino,SMR,11,34453,325,0,1253,42
Senegal,SEN,3,16296362,162,0,162,0
Senegal,SEN,4,16296362,720,9,882,9
Senegal,SEN,5,16296362,2653,33,3535,42
Senegal,SEN,6,16296362,3163,66,6698,108
Senegal,SEN,7,16296362,3408,96,10106,204
Senegal,SEN,8,16296362,3450,80,13556,284
Senegal,SEN,9,16296362,1389,26,14945,310
Senegal,SEN,10,16296362,660,13,15605,323
Senegal,SEN,11,16296362,188,5,15793,328
Somalia,SOM,3,15442906,3,0,3,0
Somalia,SOM,4,15442906,579,28,582,28
Somalia,SOM,5,15442906,1334,45,1916,73
Somalia,SOM,6,15442906,988,17,2904,90
Somalia,SOM,7,15442906,308,3,3212,93
Somalia,SOM,8,15442906,98,4,3310,97
Somalia,SOM,9,15442906,278,2,3588,99
Somalia,SOM,10,15442906,353,5,3941,104
Somalia,SOM,11,15442906,360,3,4301,107
Suriname,SUR,3,581363,8,0,8,0
Suriname,SUR,4,581363,2,1,10,1
Suriname,SUR,5,581363,4,0,14,1
Suriname,SUR,6,581363,487,12,501,13
Suriname,SUR,7,581363,1149,13,1650,26
Suriname,SUR,8,581363,2359,41,4009,67
Suriname,SUR,9,581363,854,37,4863,104
Suriname,SUR,10,581363,338,7,5201,111
Suriname,SUR,11,581363,73,3,5274,114
South_Sudan,SSD,4,11062114,34,0,34,0
South_Sudan,SSD,5,11062114,960,10,994,10
South_Sudan,SSD,6,11062114,1012,27,2006,37
South_Sudan,SSD,7,11062114,316,9,2322,46
South_Sudan,SSD,8,11062114,197,1,2519,47
South_Sudan,SSD,9,11062114,181,2,2700,49
South_Sudan,SSD,10,11062114,203,9,2903,58
South_Sudan,SSD,11,11062114,100,1,3003,59
Sao_Tome_and_Principe,STP,4,215048,14,0,14,0
Sao_Tome_and_Principe,STP,5,215048,465,12,479,12
Sao_Tome_and_Principe,STP,6,215048,234,1,713,13
Sao_Tome_and_Principe,STP,7,215048,157,2,870,15
Sao_Tome_and_Principe,STP,8,215048,26,0,896,15
Sao_Tome_and_Principe,STP,9,215048,15,0,911,15
Sao_Tome_and_Principe,STP,10,215048,34,1,945,16
Sao_Tome_and_Principe,STP,11,215048,20,0,965,16
El_Salvador,SLV,3,6453550,32,0,32,0
El_Salvador,SLV,4,6453550,345,9,377,9
El_Salvador,SLV,5,6453550,2140,37,2517,46
El_Salvador,SLV,6,6453550,3656,118,6173,164
El_Salvador,SLV,9,6453550,3252,126,28981,843
El_Salvador,SLV,10,6453550,4464,132,33445,975
Sint_Maarten,SXM,3,42389,3,0,3,0
Sint_Maarten,SXM,4,42389,73,13,76,13
Sint_Maarten,SXM,5,42389,1,2,77,15
Sint_Maarten,SXM,6,42389,0,0,77,15
Sint_Maarten,SXM,7,42389,51,0,128,15
Sint_Maarten,SXM,8,42389,335,2,463,17
Sint_Maarten,SXM,9,42389,196,5,659,22
Sint_Maarten,SXM,10,42389,146,0,805,22
Sint_Maarten,SXM,11,42389,128,2,933,24
Syria,SYR,3,17070132,10,2,10,2
Syria,SYR,4,17070132,33,1,43,3
Syria,SYR,5,17070132,79,1,122,4
Syria,SYR,6,17070132,147,5,269,9
Syria,SYR,7,17070132,469,32,738,41
Syria,SYR,8,17070132,1965,68,2703,109
Syria,SYR,9,17070132,1445,88,4148,197
Syria,SYR,10,17070132,1535,88,5683,285
Eswatini,SWZ,3,1148133,9,0,9,0
Eswatini,SWZ,4,1148133,82,1,91,1
Eswatini,SWZ,5,1148133,192,1,283,2
Eswatini,SWZ,6,1148133,512,9,795,11
Eswatini,SWZ,7,1148133,1782,29,2577,40
Eswatini,SWZ,8,1148133,1984,51,4561,91
Eswatini,SWZ,9,1148133,901,17,5462,108
Eswatini,SWZ,10,1148133,447,9,5909,117
Eswatini,SWZ,11,1148133,186,2,6095,119
Turks_and_Caicos_islands,TCA,3,38194,5,0,5,0
Turks_and_Caicos_islands,TCA,4,38194,7,1,12,1
Turks_and_Caicos_islands,TCA,5,38194,0,0,12,1
Turks_and_Caicos_islands,TCA,6,38194,29,0,41,1
Turks_and_Caicos_islands,TCA,7,38194,63,1,104,2
Turks_and_Caicos_islands,TCA,8,38194,403,1,507,3
Turks_and_Caicos_islands,TCA,9,38194,179,3,686,6
Turks_and_Caicos_islands,TCA,10,38194,17,0,703,6
Turks_and_Caicos_islands,TCA,11,38194,17,0,720,6
Chad,TCD,3,15946882,7,0,7,0
Chad,TCD,4,15946882,45,2,52,2
Chad,TCD,5,15946882,707,63,759,65
Chad,TCD,6,15946882,107,9,866,74
Chad,TCD,7,15946882,69,1,935,75
Chad,TCD,8,15946882,77,2,1012,77
Chad,TCD,9,15946882,181,8,1193,85
Chad,TCD,10,15946882,290,13,1483,98
Chad,TCD,11,15946882,114,3,1597,101
Togo,TGO,3,8082359,34,1,34,1
Togo,TGO,4,8082359,75,6,109,7
Togo,TGO,5,8082359,324,6,433,13
Togo,TGO,6,8082359,210,1,643,14
Togo,TGO,7,8082359,284,4,927,18
Togo,TGO,8,8082359,469,9,1396,27
Togo,TGO,9,8082359,363,21,1759,48
Togo,TGO,10,8082359,553,7,2312,55
Togo,TGO,11,8082359,363,6,2675,61
Thailand,THA,1,69625581,14,0,14,0
Thailand,THA,2,69625581,28,0,42,0
Thailand,THA,3,69625581,1609,10,1651,10
Thailand,THA,4,69625581,1303,44,2954,54
Thailand,THA,5,69625581,127,3,3081,57
Thailand,THA,6,69625581,90,1,3171,58
Thailand,THA,7,69625581,139,0,3310,58
Thailand,THA,8,69625581,102,0,3412,58
Thailand,THA,9,69625581,152,1,3564,59
Thailand,THA,10,69625581,216,0,3780,59
Thailand,THA,11,69625581,95,1,3875,60
Tajikistan,TJK,5,9321023,3807,47,3807,47
Tajikistan,TJK,6,9321023,2093,5,5900,52
Tajikistan,TJK,7,9321023,1466,8,7366,60
Tajikistan,TJK,8,9321023,1184,8,8550,68
Tajikistan,TJK,9,9321023,1176,7,9726,75
Tajikistan,TJK,10,9321023,1251,7,10977,82
Tajikistan,TJK,11,9321023,633,3,11610,85
Timor_Leste,TLS,3,1293120,1,0,1,0
Timor_Leste,TLS,4,1293120,23,0,24,0
Timor_Leste,TLS,5,1293120,0,0,24,0
Timor_Leste,TLS,6,1293120,0,0,24,0
Timor_Leste,TLS,7,1293120,0,0,24,0
Timor_Leste,TLS,8,1293120,3,0,27,0
Timor_Leste,TLS,9,1293120,1,0,28,0
Timor_Leste,TLS,10,1293120,2,0,30,0
Timor_Leste,TLS,11,1293120,0,0,30,0
Tunisia,TUN,3,11694721,312,8,312,8
Tunisia,TUN,4,11694721,668,32,980,40
Tunisia,TUN,5,11694721,96,8,1076,48
Tunisia,TUN,6,11694721,96,2,1172,50
Tunisia,TUN,7,11694721,342,0,1514,50
Tunisia,TUN,8,11694721,2171,26,3685,76
Trinidad_and_Tobago,TTO,3,1394969,85,3,85,3
Trinidad_and_Tobago,TTO,4,1394969,31,5,116,8
Trinidad_and_Tobago,TTO,5,1394969,1,0,117,8
Trinidad_and_Tobago,TTO,6,1394969,9,0,126,8
Trinidad_and_Tobago,TTO,7,1394969,38,0,164,8
Trinidad_and_Tobago,TTO,8,1394969,1519,13,1683,21
Trinidad_and_Tobago,TTO,9,1394969,2780,53,4463,74
Trinidad_and_Tobago,TTO,10,1394969,1205,33,5668,107
Trinidad_and_Tobago,TTO,11,1394969,412,5,6080,112
Taiwan,CNG1925,1,23773881,9,0,9,0
Taiwan,CNG1925,2,23773881,30,1,39,1
Taiwan,CNG1925,3,23773881,267,4,306,5
Taiwan,CNG1925,4,23773881,123,1,429,6
Taiwan,CNG1925,5,23773881,13,1,442,7
Taiwan,CNG1925,6,23773881,5,0,447,7
Taiwan,CNG1925,7,23773881,20,0,467,7
Taiwan,CNG1925,8,23773881,21,0,488,7
Taiwan,CNG1925,9,23773881,26,0,514,7
Taiwan,CNG1925,10,23773881,41,0,555,7
Taiwan,CNG1925,11,23773881,48,0,603,7
United_Republic_of_Tanzania,TZA,3,58005461,19,1,19,1
United_Republic_of_Tanzania,TZA,4,58005461,461,15,480,16
United_Republic_of_Tanzania,TZA,5,58005461,29,5,509,21
United_Republic_of_Tanzania,TZA,6,58005461,0,0,509,21
United_Republic_of_Tanzania,TZA,7,58005461,0,0,509,21
United_Republic_of_Tanzania,TZA,8,58005461,0,0,509,21
United_Republic_of_Tanzania,TZA,9,58005461,0,0,509,21
United_Republic_of_Tanzania,TZA,10,58005461,0,0,509,21
United_Republic_of_Tanzania,TZA,11,58005461,0,0,509,21
Ukraine,UKR,3,43993643,480,11,480,11
Uganda,UGA,3,44269587,33,0,33,0
Uganda,UGA,4,44269587,48,0,81,0
Uganda,UGA,5,44269587,332,0,413,0
Uganda,UGA,6,44269587,457,0,870,0
Uganda,UGA,7,44269587,277,2,1147,2
Uganda,UGA,8,44269587,1781,28,2928,30
Uganda,UGA,9,44269587,5089,45,8017,75
Uganda,UGA,10,44269587,4393,35,12410,110
United_Kingdom,GBR,1,66647112,0,0,0,0
United_Kingdom,GBR,2,66647112,30,0,30,0
United_States_of_America,USA,1,329064917,6,0,6,0
United_States_of_America,USA,2,329064917,60,0,66,0
Uruguay,URY,3,3461731,324,1,324,1
Uruguay,URY,4,3461731,306,14,630,15
Uruguay,URY,5,3461731,191,7,821,22
Uruguay,URY,6,3461731,111,5,932,27
Uruguay,URY,7,3461731,311,8,1243,35
Uruguay,URY,8,3461731,342,9,1585,44
Uruguay,URY,9,3461731,448,4,2033,48
Uruguay,URY,10,3461731,1049,10,3082,58
Uruguay,URY,11,3461731,948,7,4030,65
Uzbekistan,UZB,3,32981715,149,2,149,2
Uzbekistan,UZB,4,32981715,1853,7,2002,9
Uzbekistan,UZB,5,32981715,1552,5,3554,14
Uzbekistan,UZB,6,32981715,4744,10,8298,24
Uzbekistan,UZB,7,32981715,15260,113,23558,137
Uzbekistan,UZB,8,32981715,18093,180,41651,317
Uzbekistan,UZB,11,32981715,3615,35,70243,598
Holy_See,VAT,3,815,6,0,6,0
Holy_See,VAT,4,815,4,0,10,0
Holy_See,VAT,5,815,2,0,12,0
Holy_See,VAT,6,815,0,0,12,0
Holy_See,VAT,7,815,0,0,12,0
Holy_See,VAT,8,815,0,0,12,0
Holy_See,VAT,9,815,0,0,12,0
Holy_See,VAT,10,815,14,0,26,0
Holy_See,VAT,11,815,0,0,26,0
Saint_Vincent_and_the_Grenadines,VCT,3,110593,1,0,1,0
Saint_Vincent_and_the_Grenadines,VCT,4,110593,15,0,16,0
Saint_Vincent_and_the_Grenadines,VCT,5,110593,10,0,26,0
Saint_Vincent_and_the_Grenadines,VCT,6,110593,3,0,29,0
Saint_Vincent_and_the_Grenadines,VCT,7,110593,23,0,52,0
Saint_Vincent_and_the_Grenadines,VCT,8,110593,8,0,60,0
Saint_Vincent_and_the_Grenadines,VCT,9,110593,4,0,64,0
Saint_Vincent_and_the_Grenadines,VCT,10,110593,10,0,74,0
Saint_Vincent_and_the_Grenadines,VCT,11,110593,4,0,78,0
Venezuela,VEN,3,28515829,135,3,135,3
Venezuela,VEN,4,28515829,196,7,331,10
Venezuela,VEN,5,28515829,1128,4,1459,14
Venezuela,VEN,6,28515829,4071,34,5530,48
Venezuela,VEN,7,28515829,12329,110,17859,158
Venezuela,VEN,9,28515829,28495,240,74363,621
Venezuela,VEN,10,28515829,17226,172,91589,793
Venezuela,VEN,11,28515829,5763,58,97352,851
British_Virgin_Islands,VGB,3,30033,3,0,3,0
British_Virgin_Islands,VGB,4,30033,3,1,6,1
British_Virgin_Islands,VGB,5,30033,2,0,8,1
British_Virgin_Islands,VGB,6,30033,0,0,8,1
British_Virgin_Islands,VGB,7,30033,0,0,8,1
British_Virgin_Islands,VGB,8,30033,29,0,37,1
British_Virgin_Islands,VGB,9,30033,34,0,71,1
British_Virgin_Islands,VGB,10,30033,1,0,72,1
British_Virgin_Islands,VGB,11,30033,0,0,72,1
United_States_Virgin_Islands,VIR,3,104579,30,0,30,0
United_States_Virgin_Islands,VIR,4,104579,36,4,66,4
United_States_Virgin_Islands,VIR,5,104579,3,2,69,6
United_States_Virgin_Islands,VIR,6,104579,15,0,84,6
United_States_Virgin_Islands,VIR,7,104579,301,2,385,8
United_States_Virgin_Islands,VIR,8,104579,749,6,1134,14
United_States_Virgin_Islands,VIR,9,104579,184,6,1318,20
United_States_Virgin_Islands,VIR,10,104579,44,1,1362,21
United_States_Virgin_Islands,VIR,11,104579,72,2,1434,23
Vietnam,VNM,1,96462108,5,0,5,0
Vietnam,VNM,2,96462108,11,0,16,0
Vietnam,VNM,3,96462108,190,0,206,0
Vietnam,VNM,4,96462108,64,0,270,0
Vietnam,VNM,5,96462108,57,0,327,0
Vietnam,VNM,6,96462108,28,0,355,0
Vietnam,VNM,7,96462108,154,0,509,0
Vietnam,VNM,8,96462108,531,32,1040,32
Vietnam,VNM,9,96462108,54,3,1094,35
Vietnam,VNM,10,96462108,83,0,1177,35
Vietnam,VNM,11,96462108,104,0,1281,35
Vanuatu,VUT,11,299882,1,0,1,0
Wallis_and_Futuna,,10,,1,0,1,0
Wallis_and_Futuna,,11,,0,0,1,0
Kosovo,XKX,3,1798506,110,1,110,1
Kosovo,XKX,4,1798506,698,20,808,21
Kosovo,XKX,5,1798506,262,9,1070,30
Kosovo,XKX,6,1798506,1729,19,2799,49
Kosovo,XKX,9,1798506,2240,109,15574,625
Kosovo,XKX,10,1798506,3754,53,19328,678
Yemen,YEM,4,29161922,6,0,6,0
Yemen,YEM,5,29161922,304,77,310,77
Yemen,YEM,8,29161922,227,77,1953,564
Yemen,YEM,9,29161922,82,24,2035,588
Yemen,YEM,10,29161922,28,12,2063,600
Yemen,YEM,11,29161922,9,3,2072,603
South_Africa,ZAF,3,58558267,1326,3,1326,3
Zambia,ZMB,3,17861034,35,0,35,0
Zambia,ZMB,4,17861034,62,3,97,3
Zambia,ZMB,5,17861034,960,4,1057,7
Zambia,ZMB,6,17861034,511,15,1568,22
Zambia,ZMB,9,17861034,2690,45,14715,332
Zambia,ZMB,10,17861034,1700,17,16415,349
Zambia,ZMB,11,17861034,708,4,17123,353
Zimbabwe,ZWE,3,14645473,7,1,7,1
Zimbabwe,ZWE,4,14645473,27,3,34,4
Zimbabwe,ZWE,5,14645473,140,0,174,4
Zimbabwe,ZWE,6,14645473,400,3,574,7
Zimbabwe,ZWE,7,14645473,2518,46,3092,53
Zimbabwe,ZWE,9,14645473,1425,32,7837,228
Zimbabwe,ZWE,10,14645473,525,14,8362,242
Zimbabwe,ZWE,11,14645473,424,15,8786,257
United_Arab_Emirates,ARE,5,9770526,21967,164,33896,262
United_Arab_Emirates,ARE,6,9770526,14350,52,48246,314
Albania,ALB,8,2862427,4183,126,9380,280
Albania,ALB,10,2862427,7116,118,20634,502
Armenia,ARM,9,2957728,6151,81,49901,958
Azerbaijan,AZE,9,10047719,3810,59,40119,590
Belgium,BEL,8,11455519,15809,187,85401,9898
Belgium,BEL,9,11455519,36966,126,122367,10024
Denmark,DNK,11,5806081,16911,41,62136,760
Dominican_Republic,DOM,10,10738957,14432,135,126332,2236
Dominican_Republic,DOM,11,10738957,7392,49,133724,2285
Greece,GRC,9,10724599,7989,126,18123,388
Israel,ISR,7,8519373,45938,184,70379,503
Kenya,KEN,6,52573967,4302,81,6190,144
Kyrgyzstan,KGZ,11,6415851,8105,58,66983,1203
Kuwait,KWT,9,4207077,19932,77,104568,607
Moldova,MDA,5,4043258,4327,180,8098,291
Moldova,MDA,7,4043258,7590,235,23947,771
Montenegro,MNE,10,622182,7491,130,18066,294
North_Macedonia,MKD,6,2077132,4060,167,6224,298
Panama,PAN,4,4246440,5303,152,6378,178
Puerto_Rico,PRI,3,2933404,174,6,174,6
Portugal,PRT,7,10276617,8956,159,50868,1727
Sweden,SWE,10,10230185,35895,139,129042,5998
Uzbekistan,UZB,10,32981715,10109,95,66628,563
Albania,ALB,11,2862427,7196,121,27830,623
Azerbaijan,AZE,6,10047719,11722,145,16968,206
Belarus,BLR,5,9452409,28477,145,41658,229
Belarus,BLR,6,9452409,20132,158,61790,387
Belarus,BLR,8,9452409,4022,123,71687,676
Belarus,BLR,9,9452409,6573,152,78260,828
Chile,CHL,4,18952035,12436,208,14885,216
Algeria,DZA,5,43053054,5419,202,9267,646
Kuwait,KWT,6,4207077,19332,145,45524,350
Kuwait,KWT,10,4207077,20769,166,125337,773
Kuwait,KWT,11,4207077,11503,65,136840,838
Panama,PAN,5,4246440,6640,152,13018,330
Portugal,PRT,9,10276617,16949,144,74717,1963
Uzbekistan,UZB,9,32981715,14868,151,56519,468
Azerbaijan,AZE,7,10047719,14592,235,31560,441
Belarus,BLR,11,9452409,16686,69,114185,1046
Algeria,DZA,9,43053054,7222,225,51368,1726
El_Salvador,SLV,11,6453550,2913,72,36358,1047
Syria,SYR,11,17070132,1001,60,6684,345
Ethiopia,ETH,11,112078727,6931,105,102720,1569
Bolivia,BOL,11,11513102,1615,134,143246,8849
Algeria,DZA,8,43053054,14315,301,44146,1501
